in,gib,ksr,cache_type,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,evict_expired,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
wm_t,2048,1,arc,ml,models/v10_wm_rfc.onnx,0.7,0,0,0,true,112860000,85442031,5129371,0,10194645,0,12093953,22288598,5636532,469400
wm_t,2048,1,arc,ml,models/v10_wm_rfc.onnx,0.66,0,0,0,true,112860000,85349762,5569303,0,10194645,0,11746290,21940935,6218936,606957
wm_t,2048,1,fifo,ml,models/v10_wm_rfc.onnx,1,0,0,0,true,112860000,86179949,0,0,10194645,0,16485406,26680051,0,0
wm_t,2048,1,fifo,ml,models/v10_wm_rfc.onnx,0.95,0,0,0,true,112860000,86080353,1496263,0,10194645,0,15088739,25283384,1511917,7934
wm_t,2048,1,fifo,ml,models/v10_wm_rfc.onnx,0.85,0,0,0,true,112860000,85821316,3207061,0,10194645,0,13636978,23831623,3327218,98928
wm_t,2048,1,fifo,ml,models/v10_wm_rfc.onnx,0.9,0,0,0,true,112860000,85945127,2473021,0,10194645,0,14247207,24441852,2529837,41274
wm_t,2048,1,fifo,ml,models/v10_wm_rfc.onnx,0.8,0,0,0,true,112860000,85705704,3829239,0,10194645,0,13130412,23325057,4033124,177765
wm_t,2048,1,fifo,ml,models/v10_wm_rfc.onnx,0.75,0,0,0,true,112860000,85566298,4525787,0,10194645,0,12573270,22767915,4874592,316268
wm_t,2048,1,fifo,ml,models/v10_wm_rfc.onnx,0.7,0,0,0,true,112860000,85442031,5129371,0,10194645,0,12093953,22288598,5636532,469400
wm_t,2048,1,fifo,ml,models/v10_wm_rfc.onnx,0.68,0,0,0,true,112860000,85396982,5345874,0,10194645,0,11922499,22117144,5916477,529230
wm_t,2048,1,fifo,ml,models/v10_wm_rfc.onnx,0.66,0,0,0,true,112860000,85349762,5569303,0,10194645,0,11746290,21940935,6218936,606957
wm_u,2048,8,lru,ml,models/v10_wm_rfc.onnx,1,0,0,0,true,177900394,162073841,0,0,3023543,0,12803010,15826553,0,0
wm_u,2048,8,lru,ml,models/v10_wm_rfc.onnx,0.9,0,0,0,true,177900394,161869452,3552353,0,3023543,0,9455046,12478589,3566857,19831
wm_u,2048,8,lru,ml,models/v10_wm_rfc.onnx,0.95,0,0,0,true,177900394,161987893,2417161,0,3023543,0,10471797,13495340,2425086,2954
wm_u,2048,8,lru,ml,models/v10_wm_rfc.onnx,0.8,0,0,0,true,177900394,161663684,4849383,0,3023543,0,8363784,11387327,4930290,94200
wm_u,2048,8,lru,ml,models/v10_wm_rfc.onnx,0.85,0,0,0,true,177900394,161764509,4263430,0,3023543,0,8848912,11872455,4300466,48883
wm_u,2048,8,lru,ml,models/v10_wm_rfc.onnx,0.75,0,0,0,true,177900394,161543204,5490120,0,3023543,0,7843527,10867070,5650012,172139
wm_u,2048,8,lru,ml,models/v10_wm_rfc.onnx,0.7,0,0,0,true,177900394,161445031,5985166,0,3023543,0,7446654,10470197,6220309,245993
wm_u,2048,8,lru,ml,models/v10_wm_rfc.onnx,0.68,0,0,0,true,177900394,161403360,6190441,0,3023543,0,7283050,10306593,6469703,287080
wm_u,2048,8,lru,ml,models/v10_wm_rfc.onnx,0.66,0,0,0,true,177900394,161364640,6380973,0,3023543,0,7131238,10154781,6710671,335475
wm_u,2048,8,gdsf,ml,models/v10_wm_rfc.onnx,1,0,0,0,true,177900394,162073841,0,0,3023543,0,12803010,15826553,0,0
wm_u,2048,8,sieve,ml,models/v10_wm_rfc.onnx,1,0,0,0,true,177900394,162073841,0,0,3023543,0,12803010,15826553,0,0
wm_u,2048,8,gdsf,ml,models/v10_wm_rfc.onnx,0.95,0,0,0,true,177900394,161987893,2417161,0,3023543,0,10471797,13495340,2425086,2954
wm_u,2048,8,gdsf,ml,models/v10_wm_rfc.onnx,0.85,0,0,0,true,177900394,161764509,4263430,0,3023543,0,8848912,11872455,4300466,48883
wm_u,2048,8,gdsf,ml,models/v10_wm_rfc.onnx,0.9,0,0,0,true,177900394,161869452,3552353,0,3023543,0,9455046,12478589,3566857,19831
wm_u,2048,8,gdsf,ml,models/v10_wm_rfc.onnx,0.75,0,0,0,true,177900394,161543204,5490120,0,3023543,0,7843527,10867070,5650012,172139
wm_u,2048,8,gdsf,ml,models/v10_wm_rfc.onnx,0.8,0,0,0,true,177900394,161663684,4849383,0,3023543,0,8363784,11387327,4930290,94200
wm_u,2048,8,gdsf,ml,models/v10_wm_rfc.onnx,0.7,0,0,0,true,177900394,161445031,5985166,0,3023543,0,7446654,10470197,6220309,245993
wm_u,2048,8,gdsf,ml,models/v10_wm_rfc.onnx,0.68,0,0,0,true,177900394,161403360,6190441,0,3023543,0,7283050,10306593,6469703,287080
wm_u,2048,8,sieve,ml,models/v10_wm_rfc.onnx,0.95,0,0,0,true,177900394,161987893,2417161,0,3023543,0,10471797,13495340,2425086,2954
wm_u,2048,8,sieve,ml,models/v10_wm_rfc.onnx,0.9,0,0,0,true,177900394,161869452,3552353,0,3023543,0,9455046,12478589,3566857,19831
